,filename,caption,score
0,3_1534929690548387841.png,"a black vinyl record with the words,'the paradise boys'on it",0.9999337196350098
1,3_1466060138289283079.png,a sun on a blue background,0.9996335506439209
2,3_1369287194674921475.png,two birds sitting on top of a tree,0.00017537764506414533
3,3_1330890143285325824.png,a woman carrying a bunch of flowers,0.35070085525512695
4,3_1479278620615000066.png,a cell phone on a table,0.3103492259979248
5,3_1373659595336347648.png,a group of men walking down the street,0.924053966999054
6,3_1369647875236524037.png,a woman,0.3716796338558197
7,3_1546576817133322240.png,some flowers on a pink background,0.985732913017273
8,3_1523753379142545408.png,a group of people in front of a cherry tree,0.9992719292640686
9,3_1503521063921238022.png,a man sitting on a bench,0.16674542427062988
10,3_1253747899554463749.png,an american flag on a building,0.6221739649772644
11,3_1445386987104526342.png,a woman's head,0.6718689203262329
12,3_1440043420798513157.png,a sun on a blue background,0.9996335506439209
13,3_1546464390618255360.png,a music player on a cd,0.9866543412208557
14,3_1357724944050909186.png,a bunch of different colored circles,0.574643611907959
15,3_1511033111093600256.png,a man singing into a microphone,0.5115277767181396
16,3_1366403285192744966.png,a woman wearing a hat,0.617690920829773
17,3_1229805710919159808.png,a white building with a blue sky in the background,0.9798046350479126
18,3_1532450469963911168.png,a woman holding up a drawing,0.9974881410598755
19,3_1537818208673087492.png,a man and a little girl in a field,0.9710073471069336
20,3_1527290108847656967.png,a guitar,0.8832466006278992
21,3_1549726031820488704.png,two women standing next to a car,0.7550657987594604
22,3_1506731239092350976.png,a woman with blonde hair,0.3349034786224365
23,3_1362800619128561665.png,a man signing a document,0.8868826627731323
24,3_1509863263298895873.png,a group of men playing instruments,0.9553120136260986
25,3_1542840641595523072.png,a group of people posing for a photo,0.5222269296646118
26,3_1472950232426106890.png,a book on a table,0.9549171328544617
27,3_1478805178648309760.png,a woman with grey hair and glasses,0.998450517654419
28,3_1501577202898456580.png,a person holding a small fish,0.4624856114387512
29,3_1513914668875759616.png,a plant with leaves on it,0.8023121953010559
30,3_1509514446477135874.png,two women dancing together,0.7926974892616272
31,3_1376649794710614019.png,a man and woman in a kitchen,0.8688411116600037
32,3_1524841941329924117.png,a book cover with the title of the title,0.8705524802207947
33,3_1485252212112642049.png,a woman in a black and white photo,0.2532230615615845
34,3_1146798784350806016.png,the american flag on a television screen,0.04565485194325447
35,3_1428698917596708867.png,some flowers in the grass,0.6034678220748901
36,3_1553022411196379137.png,a woman sitting in a chair,0.6765367388725281
37,3_1379124245335265287.png,a young boy drawing on a table,0.602238655090332
38,3_1557733910359945218.png,an open book on a table,0.971034049987793
39,3_1519771139698044929.png,a flower bed in front of a building,0.981859028339386
40,3_1507696379661012992.png,a poster with a man on a motorcycle,0.9855586290359497
41,3_1506571820610240515.png,a group of people standing in front of a fountain,0.9850360155105591
42,3_1479603939725168640.png,a book and a picture of a picture of a book,0.9886916875839233
